"inv_num","add_credit","url","title","year","display_year","medium","dims","pitch","ps","live_url","youtube","related_code","subheading","download","commission","related"
"2023-062",,"2023-062","Chord Memory ~ Dusseldorf","2023-2024","2023-2024","TXT scores for pipe organ. ","Variable","Scores from Chord Memory genreated for JSF: Terms and Conditions. 4 Hampus Lindwall. ",,,,"https://github.com/coryarcangel/chord-memory",,"chord-memory-dusseldorf-2023-062.txt",,
"2013-127",,"2013-127-chord-memory","Chord Memory","2021-2024","2021-2024","Algo composition² for pipe organ. ",,,,,,"https://github.com/coryarcangel/chord-memory",,,,
"2023-025",,"2023-025","✎~|.2023.025","2023",2023,"Aluplate aluminium, powder coat thermo polymer","125 x 125 x 0.6 cm",,,,,"https://github.com/coryarcangel/alu",,,,
"2023-026",,"2023-026","✎~LI.2023.026","2023",2023,"Aluplate aluminium, powder coat thermo  polymer","125 x 125 x .6 cm",,,,,"https://github.com/coryarcangel/alu",,,,
"2023-027",,"2023-027","✎~IL.2023.027","2023",2023,"Aluplate aluminium, powder coat thermo  polymer","125 x 125 x 0.6 cm",,,,,"https://github.com/coryarcangel/alu",,,,
"2023-028",,"2023-028","✎~|||.2023.028","2023",2023,"Aluplate aluminium, powder coat thermo  polymer","125 x 125 x 0.6 cm",,,,,"https://github.com/coryarcangel/alu",,,,
"2023-029",,"2023-029","✎~=.2023.029","2023",2023,"Aluplate aluminium, powder coat thermo  polymer","125 x 125 x 0.6 cm",,,,,"https://github.com/coryarcangel/alu",,,,
"2023-030",,"2023-030","✎~//.2023.030","2023",2023,"Aluplate aluminium, powder coat thermo  polymer","125 x 125 x 0.6 cm",,,,,"https://github.com/coryarcangel/alu",,,,
"2023-039",,"2023-039","Father Figure","2023",2023,"HP Deskjet 2710e on office paper. ","A4",,,,,,,,,
"2023-040",,"2023-040","↩ Things I Made < > 2009-034-hello-world","2023",2023,"HP Deskjet 2710e on HP Deskjet 2710e manual ","A4",,,,,,,,,
"2023-041",,"2023-041","↩ Things I Made < > 2007-015-photoshop-gradient-and-smudge-tool-demonstration","2023",2023,"HP Deskjet 2710e on HP Deskjet 2710e manual ","A4",,,,,,,,,
"2023-043",,"2023-043","↩ Things I Made < > 2011-115-self-playing-nintendo-64-nba-courtside-2","2023",2023,"HP Deskjet 2710e on HP Deskjet 2710e manual ","A4",,,,,,,,,
"2023-044",,"2023-044","↩ Things I Made < > 2019-050-acool","2023",2023,"HP Deskjet 2710e on HP Deskjet 2710e manual ","A4",,,,,,,,,
"2023-045",,"2023-045","↩ Things I Made < > 2023-001","2023",2023,"HP Deskjet 2710e on HP Deskjet 2710e manual ","A4",,,,,,,,,
"2023-001",,"2023-001","~3.2023.001~2x1.2~E6","2023",2023,"Gold anodized aluminium plate (BWB-Bausilber 2 E6) ","200 x 120 x .06 cm","alu / track suits / majerus ;-)",,,,"https://github.com/coryarcangel/alu",,,,
"2023-002",,"2023-002","~3.2023.002~2x1.2~E6","2023",2023,"Gold anodized aluminium plate (BWB-Bausilber 2 E6) ","200 x 120 x .06 cm","alu / track suits / majerus ;-)",,,,"https://github.com/coryarcangel/alu",,,,
"2023-003",,"2023-003","~3.2023.003~2x1.2~E6","2023",2023,"Gold anodized aluminium plate (BWB-Bausilber 2 E6) ","200 x 120 x .06 cm","alu / track suits / majerus ;-)",,,,"https://github.com/coryarcangel/alu",,,,
"2023-004",,"2023-004","~3.2023.004~2x1.2~E6","2023",2023,"Gold anodized aluminium plate (BWB-Bausilber 2 E6) ","200 x 120 x .06 cm","alu / track suits / majerus ;-)",,,,"https://github.com/coryarcangel/alu",,,,
"2022-057",,"2022-057","~3.2022.057~2x1.2~E6","2022",2022,"Gold anodized aluminium plate (BWB-Bausilber 2 E6) ","200 x 120 x .06 cm","alu / track suits / majerus ;-)",,,,"https://github.com/coryarcangel/alu",,,,
"2023-005",,"2023-005","♨~3.2023.005~2x1.2~Alu","2023",2023,"Raw aluplate aluminium","200 x 120 x 0.5 cm","alu / track suits / majerus ;-)",,,,"https://github.com/coryarcangel/alu",,,,
"2023-019",,"2023-019","🤣 What exactly does a contemporary artist do all day?","2023",2023,"Are.na channel","Variable","Breadcrumb trail of my comings and goings in the ""office"" (Stavanger, Norway). ",,"https://www.are.na/cory-arcangel/what-exactly-does-a-contemporary-artist-do-all-day",,,,,,
