"ee_id_show","title","inv_num","ee_id_thing"
777,"Let's Play LIVE","2023-059","Let's Play Vids"
776,"Rhizome World","2003-006","Data Dairies"
753,"Living End","2002-001","SMC"
771,"Smilers","2005-001","SMM"
770,"Total Screen Time","2020-008","Smile"
768,"Collection Lindwall","2002-001","SMC"
768,"Collection Lindwall","2011-022","Paganinni"
691,"ALL I EAT IN A DAY","2024-027","Carlos Acutis Sitting in a Room"
691,"ALL I EAT IN A DAY","2024-010","Carlos Acutis Sitting in a Room"
746,"GUY","2024-004","GUY"
715,"Let's Play Majerus G3 🖼","2024-002","Let's Play Majerus G3 📸"
723,"Terms and Conditions (part of Organ Night)","2023-062","Chord Memory ~ Dusseldorf"
715,"Let's Play Majerus G3 🖼","2023-061","✎~|||.2023.061"
715,"Let's Play Majerus G3 🖼","2023-060","✎~|||.2023.060"
715,"Let's Play Majerus G3 🖼","2023-059","Let's Play Majerus G3 📽"
726,"The Persistence of a Present Past","2023-056","21-11-2023-11-31-35-input_gb-po-1913"
716,"🌊💨&🔥","2023-055","🌊💨&🔥",,"2023-038","Phoebe Philo x Cory Arcangel (Stripes)"
691,"ALL I EAT IN A DAY","2023-034","Femmes d'Alger dans leur appartement (Version A)"
734,"Electric Op","2023-032","Another Romp Thru the IP (Entire 😱 7th tape  AKG Op edit)",,"2023-023","Phoebe Philo x Cory Arcangel (SEO)"
741,"The Universe","2021-040","/roʊˈdeɪoʊ/ Let's Play: HOLLYWOOD 2021-12-14T19:26:00+01:00 10918"
735,"Form Matters, Matter Forms: From Readymade to Product Fetish","2020-075","Related to your interests",,"2020-028","SUS"
624,"Century 21","2020-017","𝓌𝑒 𝒹𝑒𝓁𝒾𝓋𝑒𝓇 / 𝓉𝒽𝑒 𝓀𝒾𝓃𝑔 c𝒽𝑒𝒸𝓀𝑒𝒹 𝒷𝓎 𝓉𝒽𝑒 𝓆𝓊𝑒𝑒𝓃"
715,"Let's Play Majerus G3 🖼","2017-045","Let's Play Majerus G3 💻"
742,"Weather or Not","2016-110","currentmood"
738,"Cory Arcangel: AUDMCRS as performed by Lena Willikens (Salon des Amateurs, Germany)","2011-156","The AUDMCRS Underground Dance Music Collection of Recorded Sound"
731,"Paperless Prints ","2010-074","Photoshop CS: 40 by 30 inches, 300 DPI, RGB, square pixels, default gradient ""Russell's Rainbow"" (turn 
transparency off), mousedown y=9400 x=7200, mouseup y=1640 x=1640 (-R)"
731,"Paperless Prints ","2010-073","Photoshop CS: 40 by 30 inches, 300 DPI, RGB, square pixels, default gradient ""Russell's Rainbow"" (turn transparency off), mousedown y=1960 x=2020, mouseup y=4400 x=5640 (-R)"
731,"Paperless Prints ","2010-071","Photoshop CS: 40 by 30 inches, 300 DPI, RGB, square pixels, default gradient ""Russell's Rainbow"" (turn transparency off), mousedown y=9040 x=2460, mouseup y=10040 x=1040 (-B)"
731,"Paperless Prints ","2010-070","Photoshop CS: 40 by 30 inches, 300 DPI, RGB, square pixels, default gradient ""Russell's Rainbow"" (turn transparency off), mousedown y=560 x=2160, mouseup y=2300 x=3160 (-B)"
715,"Let's Play Majerus G3 🖼","2004-001","Space Invader"
688,"Errors and Omissions","2004-003",
688,"Errors and Omissions","2016-021",
688,"Errors and Omissions","2023-025",
688,"Errors and Omissions","2023-026",
688,"Errors and Omissions","2023-027",
688,"Errors and Omissions","2023-028",
688,"Errors and Omissions","2023-029",
688,"Errors and Omissions","2023-030",
688,"Errors and Omissions","2023-039",
688,"Errors and Omissions","2023-040",
688,"Errors and Omissions","2023-041",
688,"Errors and Omissions","2023-043",
688,"Errors and Omissions","2023-044",
688,"Errors and Omissions","2023-045",
688,"Errors and Omissions","2021-040",
688,"Errors and Omissions","2023-046",
767,"CRUST SHMUP / TOTALLY FUCKED / CHOP SUEY","2003-001","Totally Fucked"
5019,"dunkin","2014-032",
5018,"rtyi basel","2020-075",
5017,"peric","2014-095",
5016,"zophars","2002-001",
5015,"smile","2020-008","smile"
5012,"IP","2022-056",
5012,"IP","2020-021",
5011,"MUDAM Majerus","2022-055",
5010,"the thing is","2010-022",
5010,"the thing is","2014-031",
5010,"the thing is","2021-002",
5002,"Flying Foxes","2020-008",
5002,"Flying Foxes","2022-031",
5002,"Flying Foxes","2022-034",
5002,"Flying Foxes","2022-039",
5002,"Flying Foxes","2022-040",
5002,"Flying Foxes","2022-041",
5002,"Flying Foxes","2022-042",
5002,"Flying Foxes","2022-043",
5002,"Flying Foxes","2022-046",
5002,"Flying Foxes","2022-047",
5002,"Flying Foxes","2022-048",
5002,"Flying Foxes","2022-049",
5002,"Flying Foxes","2022-050",
5002,"Flying Foxes","2020-011",
5008,,"2022-015",
5007,,"2022-015",
5006,,"2022-004",
5006,,"2022-006",
5006,,"2022-009",
5006,,"2022-010",
5001,"REMIND ME TOMORROW","2013-127",
5000,"Century 21","2020-017","we deliver"
5000,"Century 21","2020-041",
5000,"Century 21","2020-039",
5000,"Century 21","2020-042",
5000,"Century 21","2017-006",
4501,"Freshbuzz","2013-169",4115
4470,"Overwrite","2004-002",15
4507,"New Dawn","2020-031",4497
4503,"Frieze LA","2020-003",4490
4503,"Frieze LA","2020-004",4491
4503,"Frieze LA","2020-006",4492
4503,"Frieze LA","2020-007",4493
4503,"Frieze LA","2020-008",4494
4503,"Frieze LA","2020-022",4495
4499,"BACK OFF","2007-003",36
4499,"BACK OFF","2005-020",4038
4499,"BACK OFF","2014-146",4272
4499,"BACK OFF","2019-033",4479
4499,"BACK OFF","2019-036",4480
4499,"BACK OFF","2019-037",4481
4472,"Theater of Operations: The Gulf Wars 1991??011","2005-020",4038
4500,"Topline","2019-042",4484
4500,"Topline","2019-048",4485
4500,"Topline","2019-050",4486
4500,"Topline","2019-054",4487
4500,"Topline","2019-056",4488
4436,"Verticals","2018-072",4454
4436,"Verticals","2018-084",4456
4436,"Verticals","2018-116",4459
4436,"Verticals","2018-118",4460
4436,"Verticals","2018-121",4461
4436,"Verticals","2018-124",4462
4504,"Arcangel Surfware x DSMLA: Flagship","2013-117",4111
4504,"Arcangel Surfware x DSMLA: Flagship","2013-133",4112
4504,"Arcangel Surfware x DSMLA: Flagship","2013-168",4113
4504,"Arcangel Surfware x DSMLA: Flagship","2013-138",4114
4504,"Arcangel Surfware x DSMLA: Flagship","2013-115",4138
4504,"Arcangel Surfware x DSMLA: Flagship","2013-221",4140
4504,"Arcangel Surfware x DSMLA: Flagship","2013-136",4211
4504,"Arcangel Surfware x DSMLA: Flagship","2013-137",4213
4504,"Arcangel Surfware x DSMLA: Flagship","2013-140",4214
4504,"Arcangel Surfware x DSMLA: Flagship","2013-134",4215
4504,"Arcangel Surfware x DSMLA: Flagship","2014-088",4277
4504,"Arcangel Surfware x DSMLA: Flagship","2015-159",4297
4504,"Arcangel Surfware x DSMLA: Flagship","2015-158",4298
4504,"Arcangel Surfware x DSMLA: Flagship","2015-157",4299
4504,"Arcangel Surfware x DSMLA: Flagship","2015-164",4305
4504,"Arcangel Surfware x DSMLA: Flagship","2016-077",4366
4504,"Arcangel Surfware x DSMLA: Flagship","2016-078",4367
4504,"Arcangel Surfware x DSMLA: Flagship","2016-079",4368
4504,"Arcangel Surfware x DSMLA: Flagship","2016-061",4378
4504,"Arcangel Surfware x DSMLA: Flagship","2013-141",4409
4504,"Arcangel Surfware x DSMLA: Flagship","2013-144",4410
4504,"Arcangel Surfware x DSMLA: Flagship","2018-052",4451
4502,"Arcangel Surfware X NYABF 2019: Flagship","2015-159",4297
4502,"Arcangel Surfware X NYABF 2019: Flagship","2015-158",4298
4502,"Arcangel Surfware X NYABF 2019: Flagship","2015-164",4305
4502,"Arcangel Surfware X NYABF 2019: Flagship","2015-162",4306
4502,"Arcangel Surfware X NYABF 2019: Flagship","2016-077",4366
4502,"Arcangel Surfware X NYABF 2019: Flagship","2016-078",4367
4502,"Arcangel Surfware X NYABF 2019: Flagship","2016-079",4368
4502,"Arcangel Surfware X NYABF 2019: Flagship","2018-052",4451
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2013-117",4111
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2013-133",4112
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2013-168",4113
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2013-138",4114
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2013-115",4138
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2013-136",4211
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2013-137",4213
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2013-140",4214
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2013-134",4215
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2015-159",4297
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2015-158",4298
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2015-157",4299
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2015-164",4305
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2016-077",4366
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2016-078",4367
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2016-079",4368
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2016-061",4378
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2013-141",4409
4505,"Arcangel Surfware X Rhizome X New Museum: Flagship","2013-144",4410
4508,"They told me there would be tea","2019-046",4483
4465,"Leaving the Echo Chamber","2018-125",4463
4465,"Leaving the Echo Chamber","2019-005",4464
4447,"A Portrait of the Composer","2006-005",93
4447,"A Portrait of the Composer","2018-035",4446
4428,"Difference Engine","2018-010",4445
4424,"Art in the Age of the Internet, 1989 to Today","2005-021",185
4506,"Arcangel Surfware Flagship: Grand Opening","2013-117",4111
4506,"Arcangel Surfware Flagship: Grand Opening","2013-133",4112
4506,"Arcangel Surfware Flagship: Grand Opening","2013-168",4113
4506,"Arcangel Surfware Flagship: Grand Opening","2013-138",4114
4506,"Arcangel Surfware Flagship: Grand Opening","2013-115",4138
4506,"Arcangel Surfware Flagship: Grand Opening","2013-136",4211
4506,"Arcangel Surfware Flagship: Grand Opening","2013-137",4213
4506,"Arcangel Surfware Flagship: Grand Opening","2013-140",4214
4506,"Arcangel Surfware Flagship: Grand Opening","2013-134",4215
4506,"Arcangel Surfware Flagship: Grand Opening","2015-159",4297
4506,"Arcangel Surfware Flagship: Grand Opening","2015-158",4298
4506,"Arcangel Surfware Flagship: Grand Opening","2015-157",4299
4506,"Arcangel Surfware Flagship: Grand Opening","2015-164",4305
4506,"Arcangel Surfware Flagship: Grand Opening","2015-162",4306
4506,"Arcangel Surfware Flagship: Grand Opening","2016-077",4366
4506,"Arcangel Surfware Flagship: Grand Opening","2016-078",4367
4506,"Arcangel Surfware Flagship: Grand Opening","2016-079",4368
4506,"Arcangel Surfware Flagship: Grand Opening","2016-061",4378
4506,"Arcangel Surfware Flagship: Grand Opening","2013-141",4409
4506,"Arcangel Surfware Flagship: Grand Opening","2013-144",4410
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2010-079",147
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2011-156",2217
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2014-051",4239
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2015-001",4251
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2015-003",4253
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2015-014",4260
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2015-027",4263
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2015-053",4265
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2017-001",4379
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2017-005",4381
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2017-016",4382
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2017-023",4383
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2017-041",4390
4421,"Asymmetrical Response: Cory Arcangel And Olia Lialina","2017-020",4416
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2011-156",2217
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2014-013",4147
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2012-068",4167
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2015-027",4263
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2015-021",4271
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2016-078",4367
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2016-079",4368
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2016-084",4369
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2016-097",4371
4420,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2017-004",4380
4365,"currentmood","2016-076",4364
4422,"Net Art Anthology","2003-002",11
4423,"Arcangel Surfware X NYABF 2017: currentmood","2016-076",4364
4423,"Arcangel Surfware X NYABF 2017: currentmood","2017-049",4391
4423,"Arcangel Surfware X NYABF 2017: currentmood","2017-052",4392
4423,"Arcangel Surfware X NYABF 2017: currentmood","2017-044",4412
4360,"Images","2002-001",7
4360,"Images","2003-002",11
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2011-156",2217
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2013-193",4119
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2014-097",4175
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2015-021",4271
4419,"Asymmetrical Response: Cory Arcangel and Olia Lialina","2015-159",4297
